어떠/B_XRI	어떠/XR
충분히/B_MAGII	충분히/MAG
덤덤/B_XRI	덤덤/XR
점쳐본다/B_VVII+B_NYI_EF	점쳐보/VV + ㄴ다/EF
카펠레/B_NNPII	카펠레/NNP
기름/B_NNGI	기름/NNG
봐둬/B_VV+B_NYI_EC	보/VV + 아/EC
여론/B_NNGI	여론/NNG
매봉산/B_NNPII	매봉산/NNP
원진레이온/B_NNPIIII	원진레이온/NNP
눈앞/B_NNGI	눈앞/NNG
나이트/B_NNGII	나이트/NNG
국회의원/B_NNGIII	국회의원/NNG
김정문알로에/B_NNPIIIII	김정문알로에/NNP
담벼락/B_NNGII	담벼락/NNG
판지/B_NNGI	판지/NNG
쟁이/B_XSNI	쟁이/XSN
와인/B_NNGI	와인/NNG
터무니/B_NNGII	터무니/NNG
대/B_VV	대/VV
저었/B_VV+B_NYI_EP	젓/VV + 었/EP
無比數/B_SHII	無比數/SH
증/B_NNG	증/NNG
대/B_VX	대/VX
전화통/B_NNGII	전화통/NNG
졸/B_VV	졸/VV
따라야/B_VVI_ECI	따르/VV
드렁칡/B_NNGII	드렁칡/NNG
얕/B_VA	얕/VA
그려/B_VVI+EC	그리/VV + 어/EC
내야/B_VX+ECI	내/VX + 어야/EC
양질/B_NNGI	양질/NNG
잃어버리/B_VVIII	잃어버리/VV
교개위/B_NNGII	교개위/NNG
들러/B_VVI+EC	들르/VV + 어/EC
되살려/B_VVII+EC	되살리/VV + 어/EC
사학/B_NNGI	사학/NNG
바뀐/B_VVI+ETM	바뀌/VV + ㄴ/ETM
실업/B_NNGI	실업/NNG
직접/B_MAGI	직접/MAG
고정/B_NNGI	고정/NNG
잔/B_NNG	잔/NNG
불교/B_NNGI	불교/NNG
쳐다볼/B_VVII+ETM	쳐다보/VV + ㄹ/ETM
달랐/B_VA+B_NYI+EP	다르/VA + 았/EP
만만찮/B_VAII	만만찮/VA
마피아/B_NNGII	마피아/NNG
환하/B_VAI	환하/VA
깔/B_VV	깔/VV
부드러움/B_VAII+B_NYI_ETN	부드럽/VA + ㅁ/ETN
갖/B_VX	갖/VX
콘크리트/B_NNGIII	콘크리트/NNG
대체/B_MAGI	대체/MAG
갖/B_VV	갖/VV
금연/B_NNGI	금연/NNG
비운/B_VVI+ETM	비우/VV + ㄴ/ETM
줄줄/B_MAGI	줄줄/MAG
피임/B_NNGI	피임/NNG
케이블/B_NNGII	케이블/NNG
일대/B_MMI	일대/MM
문학상/B_NNGII	문학상/NNG
결국/B_NNGI	결국/NNG
토대/B_NNGI	토대/NNG
넘쳐흘렀/B_VVIII+EP	넘쳐흐르/VV + 었/EP
수월찮/B_VAII	수월찮/VA
라면/B_ECI	라면/EC
같이/B_MAGI	같이/MAG
숙이/B_VVI	숙이/VV
정토/B_NNGI	정토/NNG
벌겋/B_VAI	벌겋/VA
던/B_ETM	던/ETM
아이고/B_ICII	아이고/IC
스케치/B_NNGII	스케치/NNG
잇점/B_NNGI	잇점/NNG
풀리/B_VVI	풀리/VV
타원/B_NNGI	타원/NNG
무/B_XPN	무/XPN
벌려/B_VVI+EC	벌리/VV + 어/EC
관점/B_NNGI	관점/NNG
드러난다/B_VVI+B_NYI_EF	드러나/VV + ㄴ다/EC
꾸리/B_VVI	꾸리/VV
실용/B_NNGI	실용/NNG
구네/B_VV+B_NYI_EF	굴/VV + 네/EF
만날/B_VVI+ETM	만나/VV + ㄹ/ETM
전반/B_NNGI	전반/NNG
방문객/B_NNGII	방문객/NNG
담뱃재/B_NNGII	담뱃재/NNG
이창복/B_NNPII	이창복/NNP
교감/B_NNGI	교감/NNG
법전/B_NNGI	법전/NNG
간/B_NNB	간/NNB
충실/B_NNGI	충실/NNG
신데렐라/B_NNPIII	신데렐라/NNP
갈리/B_VVI	갈리/VV
뜨겁/B_VAI	뜨겁/VA
깊/B_VA	깊/VA
간/B_NNG	간/NNG
태릉사격장/B_NNPIIII	태릉사격장/NNP
의도/B_NNGI	의도/NNG
여는/B_VV+B_NYI_ETM	열/VV + 는/ETM
일상복/B_NNGII	일상복/NNG
큽니다/B_VA+EFII	크/VA + ㅂ니다/EF
내려다/B_VVI+ECI	내리/VV + 어다/EC
소개팅/B_NNGII	소개팅/NNG
상하/B_VVI	상하/VV
농사/B_NNGI	농사/NNG
일손/B_NNGI	일손/NNG
제기/B_NNGI	제기/NNG
환한/B_VAI+ETM	환하/VA + ㄴ/ETM
한가/B_XRI	한가/XR
쌓이/B_VVI	쌓이/VV
판/B_NNG	판/NNG
이제/B_NNGI	이제/NNG
제도/B_NNGI	제도/NNG
힘입/B_VVI	힘입/VV
양탄자/B_NNGII	양탄자/NNG
만든/B_VVI+ETM	만들/VV + ㄴ/ETM
몹시/B_MAGI	몹시/MAG
아트/B_NNGI	아트/NNG
잔머리/B_NNGII	잔머리/NNG
개최/B_NNGI	개최/NNG
박테리아/B_NNGIII	박테리아/NNG
합의/B_NNGI	합의/NNG
합집합/B_NNGII	합집합/NNG
극/B_NNG	극/NNG
오르/B_VVI	오르/VV
해외/B_NNGI	해외/NNG
풀/B_VV	풀/VV
헤집/B_VVI	헤집/VV
적/B_VV	적/VV
위자료/B_NNGII	위자료/NNG
3206/B_SNIII	3206/SN
헬싱키/B_NNPII	헬싱키/NNP
대사/B_NNGI	대사/NNG
오/B_EC+VV	아/EC + 오/VV
소모/B_NNGI	소모/NNG
오/B_EC+VX	아/EC + 오/VX
어려운지/B_VAI+B_NYI_ECI	어렵/VA + ㄴ지/EC
차별/B_NNGI	차별/NNG
중계국교/B_NNPIII	중계국교/NNP
올라갔/B_VVII+EP	올라가/VV + 았/EP
학부모/B_NNGII	학부모/NNG
나가야지/B_VVI+B_NYI_EFI	나가/VV + 아야지/EF
밀림/B_NNGI	밀림/NNG
모의/B_NNGI	모의/NNG
갈비탕/B_NNGII	갈비탕/NNG
봅니다/B_VV+EFII	보/VV + ㅂ니다/EF
감히/B_MAGI	감히/MAG
신년사/B_NNGII	신년사/NNG
숯불/B_NNGI	숯불/NNG
고무/B_NNGI	고무/NNG
강평/B_NNGI	강평/NNG
잉크/B_NNGI	잉크/NNG
지양/B_NNGI	지양/NNG
힘듭니다/B_VAI+B_NYI_EFI	힘들/VA + ㅂ니다/EF
상담원/B_NNGII	상담원/NNG
자구책/B_NNGII	자구책/NNG
적/B_VA	적/VA
관변/B_NNGI	관변/NNG
설악온천장/B_NNPIIII	설악온천장/NNP
대해/B_VVI+EC	대하/VV + 아/EC
비서장/B_NNGII	비서장/NNG
용도/B_NNGI	용도/NNG
그게/B_NPI+JKS	그것/NP + 이/JKS
심지어/B_MAGII	심지어/MAG
주제/B_NNGI	주제/NNG
제발/B_MAGI	제발/MAG
올바로/B_MAGII	올바로/MAG
그게/B_NPI+JKC	그것/NP + 이/JKC
안팎/B_NNGI	안팎/NNG
진학/B_NNGI	진학/NNG
걸어가/B_VVII+EC	걸어가/VV + 아/EC
버려요/B_VXI+EFI	버리/VX + 어요/EF
세요/B_EP+EFI	시/EP + 어요/EF
용기/B_NNGI	용기/NNG
기업주/B_NNGII	기업주/NNG
곧바로/B_MAGII	곧바로/MAG
첼리스트/B_NNGIII	첼리스트/NNG
마흔/B_NRI	마흔/NR
올/B_VV+ETM	오/VV + ㄹ/ETM
무얼/B_NPI+JKO	무엇/NP + ㄹ/JKO
차이/B_NNGI	차이/NNG
고/B_MM	고/MM
유엔데이/B_NNGIII	유엔데이/NNG
심리학자/B_NNGIII	심리학자/NNG
도리/B_NNGI	도리/NNG
대로/B_NNBI	대로/NNB
체벌/B_NNGI	체벌/NNG
밤거리/B_NNGII	밤거리/NNG
공급/B_NNGI	공급/NNG
열릴/B_VVI+ETM	열리/VV + ㄹ/ETM
꾹/B_MAG	꾹/MAG
말레이시아관/B_NNGIIIII	말레이시아관/NNG
오지/B_NNGI	오지/NNG
출세주의/B_NNGIII	출세주의/NNG
어색/B_XRI	어색/XR
버려/B_VVI+EC	버리/VV + 어/EC
대잖아/B_EFII	대잖아/EF
형식/B_NNGI	형식/NNG
직/B_NNG	직/NNG
진정/B_NNGI	진정/NNG
무덤/B_NNGI	무덤/NNG
얼굴선/B_NNGII	얼굴선/NNG
봉래동/B_NNPII	봉래동/NNP
고백/B_NNGI	고백/NNG
격언/B_NNGI	격언/NNG
잡무/B_NNGI	잡무/NNG
대/B_EF	대/EF
팔리/B_VVI	팔리/VV
애국/B_NNGI	애국/NNG
반박/B_NNGI	반박/NNG
보내/B_VVI	보내/VV
두른/B_VVI+ETM	두르/VV + ㄴ/ETM
쓰러진/B_VVII+ETM	쓰러지/VV + ㄴ/ETM
쟁점/B_NNGI	쟁점/NNG
정형/B_NNGI	정형/NNG
오전/B_NNGI	오전/NNG
뛰어넘/B_VVII	뛰어넘/VV
떠올랐/B_VVII+EP	떠오르/VV + 았/EP
쓸/B_VV+ETM	쓰/VV + ㄹ/ETM
사립학교/B_NNGIII	사립학교/NNG
우리/B_NPI	우리/NP
불현듯/B_MAGII	불현듯/MAG
능선/B_NNGI	능선/NNG
이곳/B_NPI	이곳/NP
통증/B_NNGI	통증/NNG
모아서/B_VVI_ECI	모으/VV
가전/B_NNGI	가전/NNG
경과/B_NNGI	경과/NNG
평수/B_NNGI	평수/NNG
행성/B_NNGI	행성/NNG
요직/B_NNGI	요직/NNG
아니/B_VCNI	아니/VCN
맥락/B_NNGI	맥락/NNG
재특자금/B_NNGIII	재특자금/NNG
의장/B_NNGI	의장/NNG
허겁지겁/B_MAGIII	허겁지겁/MAG
여보세요/B_ICIII	여보세요/IC
외곽/B_NNGI	외곽/NNG
주원인/B_NNGII	주원인/NNG
끝내/B_VVI	끝내/VV
온갖/B_MMI	온갖/MM
태어났/B_VVII+EP	태어나/VV + 았/EP
객성/B_NNGI	객성/NNG
요금/B_NNGI	요금/NNG
지나가/B_VVII	지나가/VV
빨갛/B_VAI	빨갛/VA
한다구/B_VV+EFII	하/VV + ㄴ다구/EF
마치/B_MAGI	마치/MAG
우중충/B_MAGII	우중충/MAG
갈구/B_NNGI	갈구/NNG
임시/B_NNGI	임시/NNG
가위/B_NNGI	가위/NNG
달라붙/B_VVII	달라붙/VV
잊/B_VV	잊/VV
하나/B_NRI	하나/NR
판단/B_NNGI	판단/NNG
봐/B_VV+EC	보/VV + 아/EC
할인/B_NNGI	할인/NNG
파/B_NNG	파/NNG
내몰리/B_VVII	내몰리/VV
생전/B_NNGI	생전/NNG
들끼리/B_XSNII	들/XSN
재무과장/B_NNGIII	재무과장/NNG
밴드/B_NNGI	밴드/NNG
남양만/B_NNPII	남양만/NNP
사교/B_NNGI	사교/NNG
식품/B_NNGI	식품/NNG
봐/B_VV+EF	보/VV + 아/EF
1916/B_SNIII	1916/SN
고급/B_NNGI	고급/NNG
불태우/B_VVII	불태우/VV
쓸어내리/B_VVIII	쓸어내리/VV
주번/B_NNGI	주번/NNG
아카데미/B_NNGIII	아카데미/NNG
벌컥벌컥/B_MAGIII	벌컥벌컥/MAG
인관/B_NNGI	인관/NNG
모레/B_NNGI	모레/NNG
땄/B_VV+EP	따/VV + 았/EP
대학가/B_NNGII	대학가/NNG
미사리/B_NNPII	미사리/NNP
각선미/B_NNGII	각선미/NNG
동생/B_NNGI	동생/NNG
입/B_VV	입/VV
싫어합니다/B_VVII+B_NYI_EFI	싫어하/VV + ㅂ니다/EF
얄미운/B_VAI+B_NYI_ETM	얄밉/VA + ㄴ/ETM
현대건설/B_NNPIII	현대건설/NNP
니/B_EF	니/EF
흐트러져/B_VVIII+EC	흐트러지/VV + 어/EC
아침/B_NNGI	아침/NNG
찰떡/B_NNGI	찰떡/NNG
버거/B_NNGI	버거/NNG
힘드는/B_VAI+B_NYI_ETM	힘들/VA + 는/ETM
스키복/B_NNGII	스키복/NNG
니/B_EC	니/EC
아서/B_ECI	아서/EC
떠올렸/B_VVII+EP	떠올리/VV + 었/EP
두레/B_NNGI	두레/NNG
려던/B_ETMI	려던/ETM
세팅/B_NNGI	세팅/NNG
픽/B_MAG	픽/MAG
선두/B_NNGI	선두/NNG
동절기/B_NNGII	동절기/NNG
김부식/B_NNPII	김부식/NNP
농민/B_NNGI	농민/NNG
인건비/B_NNGII	인건비/NNG
채널/B_NNGI	채널/NNG
시점/B_NNGI	시점/NNG
낸/B_VV+ETM	내/VV + ㄴ/ETM
치고는/B_JXII	치고/JX
힌두교/B_NNGII	힌두교/NNG
누군/B_NPI+B_NY	누구/NP + 이/VCP
원환체/B_NNGII	원환체/NNG
댔/B_VX+EP	대/VX + 었/EP
유물/B_NNGI	유물/NNG
복원/B_NNGI	복원/NNG
빳빳/B_XRI	빳빳/XR
반사/B_NNGI	반사/NNG
부조/B_NNGI	부조/NNG
난시청/B_NNGII	난시청/NNG
개념/B_NNGI	개념/NNG
올린/B_VVI+ETM	올리/VV + ㄴ/ETM
고교/B_NNGI	고교/NNG
퍼즐/B_NNGI	퍼즐/NNG
각지/B_NNGI	각지/NNG
리/B_XSN	리/XSN
후반/B_NNGI	후반/NNG
다른/B_VAI+ETM	다르/VA + ㄴ/ETM
재판/B_NNGI	재판/NNG
이란/B_JXI	이란/JX
더불/B_VVI	더불/VV
아늑/B_XRI	아늑/XR
지었/B_VV+B_NYI_EP	짓/VV + 었/EP
우세/B_NNGI	우세/NNG
급급/B_XRI	급급/XR
한다는/B_VV+ETMII	하/VV + ㄴ다는/ETM
한다며/B_VV+ECII	하/VV + ㄴ다며/EC
구속/B_NNGI	구속/NNG
떨어뜨릴/B_VVIII+ETM	떨어뜨리/VV + ㄹ/ETM
쓰레기봉투/B_NNGIIII	쓰레기봉투/NNG
부지런/B_NNGII	부지런/NNG
까만/B_VAI+ETM	까맣/VA + ㄴ/ETM
눈총/B_NNGI	눈총/NNG
법안/B_NNGI	법안/NNG
이론/B_NNGI	이론/NNG
서울음반/B_NNPIII	서울음반/NNP
만나/B_VVI	만나/VV
감지기/B_NNGII	감지기/NNG
이리저리/B_MAGIII	이리저리/MAG
근본/B_NNGI	근본/NNG
안심/B_NNGI	안심/NNG
시킨/B_XSVI+ETM	시키/XSV + ㄴ/ETM
한문/B_NNGI	한문/NNG
집단/B_NNGI	집단/NNG
리프트/B_NNGII	리프트/NNG
작업복/B_NNGII	작업복/NNG
교역전/B_NNGII	교역전/NNG
들어가/B_VVII+EC	들어가/VV + 아/EC
레이싱/B_NNGII	레이싱/NNG
자료집/B_NNGII	자료집/NNG
보낸다/B_VVI+B_NYI_EF	보내/VV + ㄴ다/EF
속수무책/B_NNGIII	속수무책/NNG
새것/B_NNGI	새것/NNG
발굴/B_NNGI	발굴/NNG
전유물/B_NNGII	전유물/NNG
누이/B_NNGI	누이/NNG
코미디언/B_NNGIII	코미디언/NNG
시간/B_NNGI	시간/NNG
고려독립청년당/B_NNPIIIIII	고려독립청년당/NNP
욕심/B_NNGI	욕심/NNG
매진/B_NNGI	매진/NNG
추구/B_NNGI	추구/NNG
한국방송공사/B_NNPIIIII	한국방송공사/NNP
뛰어와/B_VVII+EC	뛰어오/VV + 아/EC
질러/B_VV+B_NYI+EC	지르/VV + 어/EC
간뇌도지/B_NNGIII	간뇌도지/NNG
드라마틱/B_NNGIII	드라마틱/NNG
못하/B_VXI	못하/VX
얌전히/B_MAGII	얌전히/MAG
스산/B_XRI	스산/XR
기획서/B_NNGII	기획서/NNG
차례여서/B_NNGII+ECI	차례/NNG + 이/VCP
광대뼈/B_NNGII	광대뼈/NNG
스무/B_MMI	스무/MM
처/B_NNG	처/NNG
소아마비/B_NNGIII	소아마비/NNG
진작에/B_MAGII	진작에/MAG
실정/B_NNGI	실정/NNG
가늘/B_VAI	가늘/VA
92/B_SNI	92/SN
전국여성자원봉사자대회/B_NNPIIIIIIIIII	전국여성자원봉사자대회/NNP
그만큼/B_MAGII	그만큼/MAG
자제력/B_NNGII	자제력/NNG
속살/B_NNGI	속살/NNG
눌러쓰/B_VVII	눌러쓰/VV
배갈/B_NNGI	배갈/NNG
중개/B_NNGI	중개/NNG
형무소/B_NNGII	형무소/NNG
정상급/B_NNGII	정상급/NNG
일자/B_NNGI	일자/NNG
분량/B_NNGI	분량/NNG
찌개/B_NNGI	찌개/NNG
뱀/B_NNG	뱀/NNG
만드는/B_VVI+B_NYI_ETM	만들/VV + 는/ETM
공정/B_NNGI	공정/NNG
연관/B_NNGI	연관/NNG
드나들/B_VVII	드나들/VV
앞둔/B_VVI+ETM	앞두/VV + ㄴ/ETM
경영진/B_NNGII	경영진/NNG
서열/B_NNGI	서열/NNG
공연/B_NNGI	공연/NNG
자르/B_VVI	자르/VV
니까/B_VCP+B_NYI_EC	이/VCP + 니까/EC
퍼레이드/B_NNGIII	퍼레이드/NNG
생활상/B_NNGII	생활상/NNG
기쁨/B_NNGI	기쁨/NNG
어야/B_ECI	어야/EC
족하/B_VAI	족하/VA
바뀌/B_VVI	바뀌/VV
물결/B_NNGI	물결/NNG
부른다/B_VVI+B_NYI_EF	부르/VV + ㄴ다/EF
쇠돌/B_NNGI	쇠돌/NNG
롭/B_XSA	롭/XSA
우즈/B_NNPI	우즈/NNP
비축/B_NNGI	비축/NNG
수안보/B_NNPII	수안보/NNP
몰아내/B_VVII	몰아내/VV
혼자/B_NNGI	혼자/NNG
어두워/B_VAI+B_NYI_EC	어둡/VA + 어/EC
세워야/B_VVI+ECI	세우/VV + 어야/EC
추/B_VV	추/VV
로서/B_JKBI	로서/JKB
완전히/B_MAGII	완전히/MAG
빠듯/B_XRI	빠듯/XR
목장/B_NNGI	목장/NNG
북쪽/B_NNGI	북쪽/NNG
조간/B_NNGI	조간/NNG
째/B_XSN	째/XSN
활/B_NNG	활/NNG
십중팔구/B_NNGIII	십중팔구/NNG
미니스커트/B_NNGIIII	미니스커트/NNG
건데,/B_NNB+B_NYI_VCPI+SP	것/NNB + 이/VCP
흠집/B_NNGI	흠집/NNG
토양/B_NNGI	토양/NNG
우스꽝스러운/B_VAIIII+B_NYI_ETM	우스꽝스럽/VA + ㄴ/ETM
떠나/B_VVI+EC	떠나/VV + 아/EC
부부간/B_NNGII	부부간/NNG
안약/B_NNGI	안약/NNG
쥐/B_NNG	쥐/NNG
고/B_EF	고/EF
게끔/B_ECI	게끔/EC
고/B_EC	고/EC
시간/B_NNBI	시간/NNB
장학실/B_NNGII	장학실/NNG
즐거웠/B_VAI+B_NYI_EP	즐겁/VA + 었/EP
개런티/B_NNGII	개런티/NNG
염색/B_NNGI	염색/NNG
안/B_VV	안/VV
홍콩/B_NNPI	홍콩/NNP
비타민/B_NNGII	비타민/NNG
직후/B_NNGI	직후/NNG
액/B_NNG	액/NNG
억/B_IC	억/IC
증명/B_NNGI	증명/NNG
걸터앉/B_VVII	걸터앉/VV
구겨져/B_VVII+EC	구겨지/VV + 어/EC
난리/B_NNGI	난리/NNG
노하우/B_NNGII	노하우/NNG
어느/B_MMI	어느/MM
춤/B_NNG	춤/NNG
박차/B_VVI	박차/VV
계산/B_NNGI	계산/NNG
위기감/B_NNGII	위기감/NNG
한국아이비엠관/B_NNGIIIIII	한국아이비엠관/NNG
어법/B_NNGI	어법/NNG
배경/B_NNGI	배경/NNG
분주/B_NNGI	분주/NNG
낙제/B_NNGI	낙제/NNG
지닌/B_VVI+ETM	지니/VV + ㄴ/ETM
수포/B_NNGI	수포/NNG
생기/B_NNGI	생기/NNG
우기/B_VVI	우기/VV
순시/B_NNGI	순시/NNG
베르사체/B_NNPIII	베르사체/NNP
어스름/B_NNGII	어스름/NNG
아마추어/B_NNGIII	아마추어/NNG
풍물/B_NNGI	풍물/NNG
깨소금/B_NNGII	깨소금/NNG
그럴/B_VVI+ETM	그러/VV + ㄹ/ETM
86/B_SNI	86/SN
호소했었/B_NNGB_XSV+B_NYI_EP	호소/NNG + 하/XSV + 았었/EP
기본법/B_NNGII	기본법/NNG
등기/B_NNGI	등기/NNG
오드리/B_NNPII	오드리/NNP
날/B_NP+JKO	나/NP + ㄹ/JKO
폐수/B_NNGI	폐수/NNG
체험/B_NNGI	체험/NNG
물기/B_NNGI	물기/NNG
빙그레/B_NNPII	빙그레/NNP
횡설수설/B_NNGIII	횡설수설/NNG
앞서/B_VVI+EC	앞서/VV + 어/EC
봄맞이/B_NNGII	봄맞이/NNG
버그만/B_NNPII	버그만/NNP
내/B_NP+JKG	나/NP + 의/JKG
본격/B_NNGI	본격/NNG
총알받이/B_NNGIII	총알받이/NNG
귀밑/B_NNGI	귀밑/NNG
살아가야/B_VVII+B_NYI_EC	살아가/VV + 아야/EC
창밖/B_NNGI	창밖/NNG
빼/B_VV	빼/VV
고전/B_NNGI	고전/NNG
챙기/B_VVI	챙기/VV
없이/B_MAGI	없이/MAG
트럭/B_NNGI	트럭/NNG
관리국/B_NNGII	관리국/NNG
t/B_SL	t/SL
30/B_SNI	30/SN
방과/B_NNGI	방과/NNG
볼/B_VX+ETM	보/VX + ㄹ/ETM
까닭/B_NNGI	까닭/NNG
안배/B_NNGI	안배/NNG
언니/B_NNGI	언니/NNG
눌러/B_VV+B_NYI_VV+EC	누르/VV + 어/EC
맛볼/B_VVI+ETM	맛보/VV + ㄹ/ETM
로맨틱/B_NNGII	로맨틱/NNG
으로/B_JKBI	으로/JKB
변한/B_VVI+ETM	변하/VV + ㄴ/ETM
변한/B_VVI+B_NY	변하/VV + ㄴ/ETM
소유/B_NNGI	소유/NNG
열린다/B_VVI+B_NYI_EF	열리/VV + ㄴ다/EF
억/B_NR	억/NR
파괴/B_NNGI	파괴/NNG
미샤/B_NNPI	미샤/NNP
역력/B_XRI	역력/XR
번역서/B_NNGII	번역서/NNG
땐/B_NNG+JX	때/NNG + ㄴ/JX
모이/B_VVI	모이/VV
프랑스관/B_NNGIII	프랑스관/NNG
모른다/B_VVI+B_NYI_EF	모르/VV + ㄴ다/EF
원인/B_NNGI	원인/NNG
돌아와/B_VVII+EC	돌아오/VV + 아/EC
군소/B_NNGI	군소/NNG
자기/B_NPI	자기/NP
달릴/B_VVI+ETM	달리/VV + ㄹ/ETM
순응/B_NNGI	순응/NNG
향수병/B_NNGII	향수병/NNG
소망농장/B_NNPIII	소망농장/NNP
잔무/B_NNGI	잔무/NNG
늘려야/B_VVI+ECI	늘리/VV + 어야/EC
소시지/B_NNGII	소시지/NNG
레스토랑/B_NNGIII	레스토랑/NNG
고분고분/B_MAGIII	고분고분/MAG
사그라지/B_VVIII	사그라지/VV
할까요/B_XSV+B_NYI_EFI	하/XSV + ㄹ까요/EF
망라/B_NNGI	망라/NNG
돌돌/B_MAGI	돌돌/MAG
필리핀/B_NNPII	필리핀/NNP
매/B_NNG	매/NNG
건지/B_NNB+B_NYI_VCP+EC	것/NNB + 이/VCP
깨끗/B_XRI	깨끗/XR
홍차/B_NNGI	홍차/NNG
기대된다/B_NNGB_XSV+B_NYI_EF	기대/NNG + 되/XSV + ㄴ다/EC
올라온/B_VVII+ETM	올라오/VV + ㄴ/ETM
발표자/B_NNGII	발표자/NNG
환부/B_NNGI	환부/NNG
현재/B_NNGI	현재/NNG
추문/B_NNGI	추문/NNG
외치/B_VVI	외치/VV
통계/B_NNGI	통계/NNG
타임머신/B_NNGIII	타임머신/NNG
못한/B_VXI+ETM	못하/VX + ㄴ/ETM
경지/B_NNGI	경지/NNG
짝/B_NNG	짝/NNG
축하/B_NNGI	축하/NNG
도시/B_NNGI	도시/NNG
게양/B_NNGI	게양/NNG
접어들/B_VVII	접어들/VV
적십자/B_NNPII	적십자/NNP
발각/B_NNGI	발각/NNG
반죽/B_NNGI	반죽/NNG
정진영/B_NNPII	정진영/NNP
동창/B_NNGI	동창/NNG
진짜/B_MAGI	진짜/MAG
술병/B_NNGI	술병/NNG
선진국/B_NNGII	선진국/NNG
노리개/B_NNGII	노리개/NNG
언덕/B_NNGI	언덕/NNG
감싸/B_VVI+EC	감싸/VV + 아/EC
동네/B_NNGI	동네/NNG
꽤/B_MAG	꽤/MAG
확정/B_NNGI	확정/NNG
노부오/B_NNPII	노부오/NNP
스파/B_NNGI	스파/NNG
엄지손가락/B_NNGIIII	엄지손가락/NNG
모터/B_NNGI	모터/NNG
급증/B_NNGI	급증/NNG
반/B_NNG	반/NNG
당사자/B_NNGII	당사자/NNG
더라구/B_EFII	더라구/EF
적당/B_XRI	적당/XR
사이/B_NNGI	사이/NNG
핑/B_MAG	핑/MAG
과학사/B_NNGII	과학사/NNG
자막/B_NNGI	자막/NNG
살린다는/B_VVI+B_NYI_ETMI	살리/VV + ㄴ다는/ETM
사물/B_NNGI	사물/NNG
배움터/B_NNGII	배움터/NNG
가동식/B_NNGII	가동식/NNG
거나/B_ECI	거나/EC
인터콘티넨탈/B_NNPIIIII	인터콘티넨탈/NNP
김성수/B_NNPII	김성수/NNP
서태지/B_NNPII	서태지/NNP
동그란/B_VAII+ETM	동그랗/VA + ㄴ/ETM
많이/B_MAGI	많이/MAG
아끼/B_VVI	아끼/VV
한기/B_NNGI	한기/NNG
쩍/B_MAG	쩍/MAG
대행/B_NNGI	대행/NNG
함안군/B_NNPII	함안군/NNP
싱글싱글/B_MAGIII	싱글싱글/MAG
헤매/B_VVI	헤매/VV
일일이/B_MAGII	일일이/MAG
공원묘지/B_NNGIII	공원묘지/NNG
순종/B_NNGI	순종/NNG
키워도/B_VVI+ECI	키우/VV + 어도/EC
해봐/B_VV+B_NYI_EC	하/VV + 아/EC
실현/B_NNGI	실현/NNG
심플/B_NNGI	심플/NNG
소홀/B_NNGI	소홀/NNG
마음껏/B_MAGII	마음껏/MAG
불러온/B_VVII+ETM	불러오/VV + ㄴ/ETM
카트린느/B_NNPIII	카트린느/NNP
말려들/B_VVII	말려들/VV
반드시/B_MAGII	반드시/MAG
행사장/B_NNGII	행사장/NNG
간다/B_VV+EFI	가/VV + ㄴ다/EF
문양집/B_NNGII	문양집/NNG
삼천리/B_NNGII	삼천리/NNG
거나/B_EFI	거나/EF
매달려/B_VVII+EC	매달리/VV + 어/EC
썰/B_VV	썰/VV
옷가지/B_NNGII	옷가지/NNG
되물었/B_VVI+B_NYI_EP	되묻/VV + 었/EP
유가/B_NNGI	유가/NNG
아까/B_NNGI	아까/NNG
선정/B_NNGI	선정/NNG
함정/B_NNGI	함정/NNG
놀라웠/B_VAI+B_NYI_EP	놀랍/VA + 었/EP
긋/B_VV	긋/VV
해준/B_VV+B_NYI_EC+VX	하/VV + 아/EC
틀림없이/B_MAGIII	틀림없이/MAG
이사장/B_NNGII	이사장/NNG
고추장/B_NNGII	고추장/NNG
능숙/B_XRI	능숙/XR
조심/B_NNGI	조심/NNG
이상형/B_NNGII	이상형/NNG
한국소방안전협회/B_NNPIIIIIII	한국소방안전협회/NNP
깎/B_VV	깎/VV
동요/B_NNGI	동요/NNG
사무국장/B_NNGIII	사무국장/NNG
경복궁/B_NNPII	경복궁/NNP
고문헌/B_NNGII	고문헌/NNG
괴/B_VV	괴/VV
땀/B_NNG	땀/NNG
뇌신경외과/B_NNGIIII	뇌신경외과/NNG
전동기/B_NNGII	전동기/NNG
대원/B_NNGI	대원/NNG
위기/B_NNGI	위기/NNG
어떻/B_VAI	어떻/VA
꾸깃꾸깃/B_MAGIII	꾸깃꾸깃/MAG
보드/B_NNGI	보드/NNG
기침/B_NNGI	기침/NNG
의례/B_NNGI	의례/NNG
군청색/B_NNGII	군청색/NNG
초빙/B_NNGI	초빙/NNG
바위산/B_NNGII	바위산/NNG
공학/B_NNGI	공학/NNG
위원장/B_NNGII	위원장/NNG
러시아관/B_NNGIII	러시아관/NNG
만큼/B_NNBI	만큼/NNB
변호사/B_NNGII	변호사/NNG
승낙/B_NNGI	승낙/NNG
찾아와/B_VVII+EC	찾아오/VV + 아/EC
도리깨/B_NNGII	도리깨/NNG
유출/B_NNGI	유출/NNG
뚜렷/B_XRI	뚜렷/XR
임산물/B_NNGII	임산물/NNG
다리/B_NNGI	다리/NNG
